      Gx      Gy      Gz     Rot. sign
   -1248  -12828   30125           1
    -106   -7658   31859           1
   -5045    5661   31877          -1
   -7721   10267   30143          -1
   -8696   13817   28409          -1
   -8762   16889   26676          -1
   -8186   19609   24942          -1
   -7108   22011   23208          -1
   -5624   24101   21475          -1
   -3808   25873   19741          -1
   -1724   27320   18007          -1
     570   28434   16273          -1
    3024   29208   14540          -1
    5586   29638   12806          -1
    8208   29727   11072          -1
   10843   29476    9339          -1
   13449   28895    7605          -1
   15982   27995    5871          -1
   18403   26793    4137          -1
   20673   25307    2404          -1
   22760   23562     670          -1
   24629   21585   -1063          -1
   26254   19405   -2796          -1
   27608   17056   -4530          -1
   28671   14574   -6264          -1
   29423   11997   -7997          -1
   29853    9367   -9731          -1
   29949    6727  -11465          -1
   29706    4120  -13199          -1
   29122    1595  -14932          -1
   28200    -800  -16666          -1
   26944   -3016  -18400          -1
   25363   -4999  -20133          -1
   23467   -6690  -21867          -1
   21266   -8024  -23601          -1
   18765   -8925  -25334          -1
   15959   -9287  -27068          -1
   12804   -8952  -28802          -1
    9140   -7594  -30536          -1
    4057   -3984  -32269          -1
   -8817      11  -31558          -1
  -13525   -1108  -29824           1
  -16640   -2768  -28090           1
  -18871   -4778  -26357           1
  -20444   -7028  -24623           1
  -21463   -9436  -22889           1
  -21990  -11937  -21156           1
  -22068  -14472  -19422           1
  -21729  -16988  -17688           1
  -21006  -19438  -15954           1
  -19927  -21779  -14221           1
  -18523  -23970  -12487           1
  -16827  -25978  -10753           1
  -14872  -27769   -9020           1
  -12692  -29316   -7286           1
  -10325  -30597   -5552           1
   -7810  -31592   -3819           1
   -5185  -32286   -2085           1
   -2492  -32670    -351           1
     228  -32737    1382           1
    2934  -32486    3115           1
    5584  -31921    4849           1
    8137  -31050    6583           1
   10552  -29885    8316           1
   12789  -28444   10050           1
   14809  -26748   11784           1
   16575  -24823   13517           1
   18051  -22698   15251           1
   19201  -20407   16985           1
   19991  -17988   18719           1
   20385  -15484   20452           1
   20346  -12940   22186           1
   19828  -10408   23920           1
   18773   -7943   25653           1
   17091   -5610   27387           1
   14611   -3483   29121           1
   10903   -1658   30855           1
    3405    -231   32588           1
